1,The Beatles,beatles@gmail.com
2,Beyonce,beyonceles@gmail.com
3,Adele,adele@gmail.com
4,Ed Sheeran,sheeran@gmail.com
5,Metallica,metallica@gmail.com
6,Taylor Swift,taylor.swift@example.com
7,Drake,drake@example.com
8,Ariana Grande,ariana.grande@example.com
9,Billie Eilish,billie.eilish@example.com
10,Bruno Mars,bruno.mars@example.com
11,Justin Bieber,justin.bieber@example.com
12,The Weeknd,the.weeknd@example.com
13,Lady Gaga,lady.gaga@example.com
14,Kendrick Lamar,kendrick.lamar@example.com
15,Post Malone,post.malone@example.com
16,Cardi B,cardi.b@example.com
17,Shawn Mendes,shawn.mendes@example.com
18,Dua Lipa,dua.lipa@example.com
19,Harry Styles,harry.styles@example.com
20,Eminem,eminem@example.com
